REGION,ISO,COUNTRY,INDICATOR,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa,AGO,Angola,Total Hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15803.6372,16407.2428,17050.254,17721.938,18398.6088,17735.0108,18929.4664,19635.824,20372.2324,21154.9156,21965.034,22792.4736,23657.0776,24556.662,25475.3564,24163.5576,25879.594,27780.4228
Africa,AGO,Angola,Population,4117.617,4173.095,4232.095,4293.84,4357.527,4423.223,4490.992,4561.361,4635.885,4714.676,4797.344,4752.489,4826.015,4919.586,5026.044,5134.818,5201.25,5247.469,5350.384,5471.641,5605.626,5752.957,5895.212,6026.363,5987.492,5885.455,5943.466,6163.714,6287.18,6452.546,6743.08,6879.574,7018.526,7240.535,7442.448,7584.709,7748.632,7878.396,8023.39,8153.844,8296.606,8587.259458,8898.837997,9241.700123,9600.598174,9963.745524,10312.91374,10651.40202,10990.17369,11333.73907,11676.48411,12030.14847,12443.08079,12935.94887,13480.16055,14012.10011,14534.98773,15083.6784,15657.93422,16260.47571,16884.69846,17524.60664,18201.96206,18907.51066,19623.85179,20353.69852,21097.58926,21858.56669,22638.1596,23436.91016,24253.25378,25089.10032,25948.68567
Africa,AGO,Angola,Output per Employed Person,8434.624026,8656.549585,8884.463682,9109.959937,8762.528032,9353.46677,9068.345196,9811.707253,10198.66989,10105.40251,10366.29554,11595.98899,11134.52978,11556.7052,12688.29811,13466.91503,14066.83677,14694.79414,14283.83174,14506.97859,15222.88487,14952.89266,14878.2091,15626.68497,15007.83259,9456.88613,8447.835604,8372.484164,8585.859494,8610.762626,8679.920767,8380.850579,7864.388224,7411.595346,7286.12499,7224.447048,6469.830278,7118.510675,8035.457128,8084.97039,8268.594942,8990.931659,9700.770083,10424.07084,11137.92229,11879.25052,12794.02414,13280.20138,13439.83708,13264.53653,13193.55933,13295.05636,14596.92073,14514.21222,15528.8672,17214.61446,18534.22029,20373.77106,21828.69851,21219.38412,22786.43726,22254.18934,23317.53271,23627.48752,23906.43674,23295.66886,21925.34131,21141.93669,19998.20842,19198.65445,17936.8901,17311.39784,17027.89245
Africa,AGO,Angola,Output per Hour Worked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.346403978,8.967732301,9.838532692,10.52257312,10.22263461,11.12044272,10.78047772,11.28041474,11.41139423,11.51920796,11.19908513,10.51407549,10.11461895,9.544823386,9.151393878,9.128651641,8.548539822,8.189139278
Africa,AGO,Angola,Per Capita Income,5567.069274,5695.989415,5827.937676,5957.380338,5712.408833,6078.6798,5874.991887,6336.685043,6565.912692,6485.372189,6631.782231,7389.315278,7067.263016,7306.166474,7989.657968,8446.082023,8786.967157,9142.277621,8850.684804,8952.477083,9355.997554,9147.674473,9059.811644,9471.286659,9053.660716,5678.176973,5048.368688,4979.606438,5082.175657,5072.508245,5088.644359,4887.668006,4562.405179,4277.045111,4182.344092,4124.833534,3674.183974,4020.783956,4514.119245,4517.194891,4594.487146,4975.383293,5348.656581,5715.152387,6079.766541,6465.319648,6946.519733,7215.000354,7320.621036,7253.530151,7255.704806,7338.603717,8064.678891,7989.355909,8506.56145,9413.545388,10122.86793,11121.25815,11909.64184,11566.83595,11680.46751,11644.69452,12169.03089,12295.40892,12417.94296,12085.67993,11358.72848,10946.84426,10353.71275,9947.344551,9094.891009,8817.882548,8767.216743
Africa,AGO,Angola,GDP growth,0,3.694296929,3.763081719,3.712446352,-2.689840679,8.016159898,-1.87007874,9.548645938,5.310382714,0.452095288,4.050545266,10.38096822,-2.8786737,5.384854128,11.72139597,8.000527218,5.38198682,4.968152866,-1.29082083,3.442494691,7.066450567,0.343122414,1.488484361,6.867505698,-5.025964392,-38.3518844,-10.21539436,2.293173399,4.104155889,2.434984264,4.835058215,-2.005244486,-4.769400283,-3.289256198,0.512732866,0.510117327,-9.000169176,11.26603458,14.3358396,1.69516294,3.491881017,12.084,11.403,10.969,10.511,10.364,11.208,7.274,4.691,2.181,3.055,4.206,13.666,2.99,10.953,15.029,11.548,14.01,11.166,0.859,4.859,3.472,8.542,4.955,4.823,0.944,-2.58,-0.15,-2.045,-0.535,-5.385,0.295601637,2.831864591
Africa,AGO,Angola,Employment growth,0,1.035915013,1.101236288,1.145281579,1.168481249,1.191852419,1.215264511,1.248937773,1.314647633,1.379213557,1.431860297,-1.324351013,1.14642043,1.535063487,1.757637347,1.756258387,0.887661207,0.482515,1.549156695,1.851338617,2.031298274,2.154936459,1.997922105,1.74884176,-1.109682193,-2.166042199,0.50891512,3.213800761,1.516964862,2.138732692,3.999774358,1.491692928,1.484489837,2.619044771,2.243607425,1.368211675,1.613710238,1.126821656,1.288686091,1.072370403,1.19358846,3.079105774,3.251262626,3.269132783,3.428131599,3.476701141,3.256620196,3.346787156,3.44750121,3.531396689,3.609403488,3.410471237,3.528401903,3.576883355,3.703339606,3.764744119,3.605966877,3.716020457,3.756558492,3.755165108,-2.352290804,5.946714114,3.592187483,3.578158391,3.59988617,3.590558597,3.508722086,3.549895241,3.557197007,3.607354635,1.270659541,3.91946396,4.543960687
Africa,AGO,Angola,Total Hours growth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81940937,3.919069205,3.939436914,3.818266377,-3.606783574,6.735014788,3.731524096,3.750331028,3.841911798,3.829457018,3.767076345,3.79337502,3.802601552,3.741120841,-5.14928537,7.101753924,7.344894205
Africa,AGO,Angola,Population growth,0,1.347332693,1.41381876,1.458970085,1.483217819,1.507644129,1.532118096,1.566892125,1.63381061,1.699589183,1.753418475,-0.934996531,1.547105106,1.938887467,2.163962577,2.164207078,1.293755689,0.888613314,1.961231215,2.266323314,2.448716939,2.628270241,2.472728373,2.224703709,-0.645015908,-1.704169292,0.985667208,3.705716496,2.003110462,2.63020941,4.502625785,2.024208522,2.019776225,3.163185546,2.788647524,1.911481276,2.161229917,1.6746698,1.8404,1.625921213,1.750855179,3.503281442,3.628381558,3.852886482,3.883463495,3.782549211,3.504387098,3.282178967,3.180535961,3.126114116,3.024112705,3.028860002,3.432479016,3.960981129,4.206971457,3.946092224,3.731686288,3.774964785,3.807133829,3.848154397,3.838896039,3.789870335,3.865167575,3.87622279,3.788659175,3.719181788,3.654818507,3.606940211,3.566532633,3.528336993,3.483153754,3.446327463,3.426130632
Africa,AGO,Angola,Output per Employed Person growth,0,2.63112569,2.632851515,2.538096423,-3.813758871,6.743929789,-3.048298363,8.197328631,3.943886866,-0.914505288,2.581718369,11.86241931,-3.979472643,3.791587368,9.791656801,6.136496103,4.454782239,4.464097924,-2.796652987,1.562233836,4.934909561,-1.773594217,-0.499458944,5.030685215,-3.960228145,-36.98699614,-10.6700082,-0.891961496,2.548530711,0.290048216,0.803159298,-3.445540529,-6.162409773,-5.757509225,-1.692892693,-0.846512268,-10.44532218,10.02623513,12.88115584,0.616184755,2.271183968,8.735906427,7.895048609,7.456116856,6.848106305,6.655893339,7.700600493,3.800033801,1.202057832,-1.304335431,-0.535089934,0.769292272,9.792093677,-0.566616156,6.990768495,10.8555714,7.665613635,9.925158618,7.141178944,-2.791345476,7.38500766,-2.335810162,4.778171634,1.329277939,1.180613103,-2.55482607,-5.88232756,-3.573055514,-5.409761145,-3.99812798,-6.572149891,-3.487183426,-1.637680536
Africa,AGO,Angola,Output per Hour Worked growth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.444263724,9.710374498,6.95266715,-2.85042939,8.782551187,-3.057117474,4.637429119,1.161123016,0.944790196,-2.779035064,-6.116657199,-3.799255029,-5.633386317,-4.121915019,-0.24851118,-6.354846711,-4.204233138
Africa,AGO,Angola,Per Capita Income growth,0,2.315763202,2.316511682,2.221071499,-4.112067579,6.41184792,-3.350857738,7.85861775,3.617469503,-1.226645953,2.257542622,11.42276723,-4.358350543,3.380424043,9.354994801,5.712685789,4.036014957,4.043607517,-3.189498602,1.15010625,4.507361113,-2.226626077,-0.960493614,4.541761258,-4.409389749,-37.28308194,-11.09173399,-1.362068693,2.059785645,-0.190221912,0.318109164,-3.949506755,-6.654765144,-6.254597229,-2.214169281,-1.375079561,-10.9252787,9.433386701,12.26962934,0.068133923,1.711067524,8.29028649,7.502402648,6.852109516,6.379780075,6.341577499,7.442788772,3.864965934,1.463904044,-0.916464393,0.029980646,1.142534235,9.893914447,-0.933986116,6.473682566,10.66216876,7.535126432,9.862720971,7.088979244,-2.878389524,0.982390992,-0.306263351,4.502791969,1.038521791,0.996583667,-2.675668801,-6.014981838,-3.626147248,-5.418287636,-3.924854886,-8.569659343,-3.045758997,-0.574580173
Africa,BWA,Botswana,Real GDP,456.8253804,471.900618,484.2349032,499.3101408,514.8422037,529.9174413,544.9926788,560.5247418,575.5999793,593.8729945,608.9482321,630.419025,648.6920402,670.162833,694.3745782,715.8453711,785.7396543,864.7704451,953.3945689,1047.500597,1151.199959,1364.537411,1803.089776,2198.700556,2658.723714,2625.375461,3118.746872,3231.125916,3849.667481,4236.141752,4839.151255,5286.840127,5679.709955,6575.0877,7309.206086,7848.260035,8445.330807,9188.128876,10634.89486,12011.30973,12723.95732,13517.55054,13489.43403,14032.65354,13922.35688,14901.09857,15769.83262,17035.67709,17158.50432,18817.21693,19191.11503,19239.09282,20406.90575,21350.72514,21928.47576,22927.53712,24845.19633,26902.37858,28581.62505,26394.5591,28654.98914,30388.04289,31742.13408,35342.96177,36809.34125,34704.58312,37146.74463,38633.72882,40171.73757,41374.07767,37860.17726,42164.19948,43164.68855
Africa,BWA,Botswana,Nominal GDP,50.50484765,55.86973626,58.32126659,60.86493545,63.33922883,66.29545311,70.50478031,74.92029551,78.68509202,82.29570805,85.53656309,89.49517843,93.2106697,97.40005667,102.4585052,107.561777,121.3710568,137.4526902,157.9922433,182.0996357,210.6866986,262.389886,361.7079276,465.239299,613.2037646,661.5986396,829.1817005,912.4364774,1163.571417,1386.612018,1727.077954,2065.393829,2355.963134,2834.194123,3264.301811,3615.889166,3969.334959,4425.239773,5302.715495,6223.806549,6839.874071,7512.211943,7667.427027,8165.257206,8274.07063,9041.433826,9743.746483,10707.38547,10905.97147,12128.79792,12650.04953,12967.3801,13968.86294,14903.3807,15717.5516,16948.96681,18933.2923,21055.0209,22798.30696,21188.7235,23279.78236,25200.67948,26816.02203,30380.84367,32233.00758,30693.97971,33183.17465,35166.48682,37440.04043,39250.37281,36349.70957,42164.19948,45541.09609
